rank,title
1,肖申克的救赎
2,霸王别姬
3,这个杀手不太冷
4,阿甘正传
5,美丽人生
6,千与千寻
7,泰坦尼克号
8,辛德勒的名单
9,盗梦空间
10,机器人总动员
11,海上钢琴师
12,三傻大闹宝莱坞
13,忠犬八公的故事
14,放牛班的春天
15,大话西游之大圣娶亲
16,教父
17,龙猫
18,楚门的世界
19,乱世佳人
20,熔炉
21,触不可及
22,天堂电影院
23,当幸福来敲门
24,无间道
25,星际穿越
26,怦然心动
27,十二怒汉
28,搏击俱乐部
29,少年派的奇幻漂流
30,指环王3：王者无敌
31,鬼子来了
32,蝙蝠侠：黑暗骑士
33,活着
34,天空之城
35,罗马假日
36,大话西游之月光宝盒
37,飞屋环游记
38,两杆大烟枪
39,窃听风暴
40,飞越疯人院
41,疯狂动物城
42,控方证人
43,闻香识女人
44,海豚湾
45,哈尔的移动城堡
46,V字仇杀队
47,教父2
48,死亡诗社
49,辩护人
50,美丽心灵
51,指环王2：双塔奇兵
52,指环王1：魔戒再现
53,情书
54,饮食男女
55,美国往事
56,天使爱美丽
57,狮子王
58,钢琴家
59,七宗罪
60,被嫌弃的松子的一生
61,致命魔术
62,小鞋子
63,素媛
64,勇敢的心
65,音乐之声
66,剪刀手爱德华
67,低俗小说
68,本杰明·巴顿奇事
69,黑客帝国
70,西西里的美丽传说
71,沉默的羔羊
72,拯救大兵瑞恩
73,入殓师
74,蝴蝶效应
75,玛丽和马克思
76,让子弹飞
77,春光乍泄
78,大闹天宫
79,心灵捕手
80,幽灵公主
81,阳光灿烂的日子
82,看不见的客人
83,第六感
84,重庆森林
85,摔跤吧！爸爸
86,末代皇帝
87,大鱼
88,禁闭岛
89,射雕英雄传之东成西就
90,狩猎
91,甜蜜蜜
92,布达佩斯大饭店
93,一一
94,致命ID
95,阳光姐妹淘
96,告白
97,上帝之城
98,哈利·波特与魔法石
99,断背山
100,加勒比海盗
101,猫鼠游戏
102,摩登时代
103,爱在黎明破晓前
104,阿凡达
105,穿条纹睡衣的男孩
106,风之谷
107,爱在日落黄昏时
108,消失的爱人
109,侧耳倾听
110,萤火虫之墓
111,超脱
112,倩女幽魂
113,驯龙高手
114,红辣椒
115,恐怖直播
116,菊次郎的夏天
117,幸福终点站
118,岁月神偷
119,七武士
120,海洋
121,借东西的小人阿莉埃蒂
122,神偷奶爸
123,真爱至上
124,杀人回忆
125,电锯惊魂
126,小森林 夏秋篇
127,谍影重重3
128,喜剧之王
129,贫民窟的百万富翁
130,雨人
131,东邪西毒
132,记忆碎片
133,喜宴
134,怪兽电力公司
135,燃情岁月
136,疯狂原始人
137,虎口脱险
138,黑天鹅
139,卢旺达饭店
140,英雄本色
141,恋恋笔记本
142,猜火车
143,魂断蓝桥
144,穿越时空的少女
145,傲慢与偏见
146,教父3
147,完美的世界
148,雨中曲
149,纵横四海
150,海边的曼彻斯特
151,萤火之森
152,7号房的礼物
153,哈利·波特与死亡圣器(下)
154,玩具总动员3
155,花样年华
156,荒蛮故事
157,小森林 冬春篇
158,我是山姆
159,二十二
160,人工智能
161,浪潮
162,时空恋旅人
163,超能陆战队
164,唐伯虎点秋香
165,冰川时代
166,香水
167,蝙蝠侠：黑暗骑士崛起
168,朗读者
169,心迷宫
170,追随
171,罗生门
172,撞车
173,一次别离
174,可可西里
175,未麻的部屋
176,战争之王
177,爆裂鼓手
178,梦之安魂曲
179,地球上的星星
180,恐怖游轮
181,达拉斯买家俱乐部
182,碧海蓝天
183,阿飞正传
184,牯岭街少年杀人事件
185,谍影重重2
186,谍影重重
187,被解救的姜戈
188,魔女宅急便
189,秒速5厘米
190,惊魂记
191,海盗电台
192,再次出发之纽约遇见你
193,忠犬八公物语
194,青蛇
195,东京物语
196,哪吒闹海
197,绿里奇迹
198,末路狂花
199,勇闯夺命岛
200,终结者2：审判日
201,这个男人来自地球
202,卡萨布兰卡
203,源代码
204,荒野生存
205,迁徙的鸟
206,新龙门客栈
207,头脑特工队
208,黑客帝国3：矩阵革命
209,变脸
210,城市之光
211,房间
212,E.T. 外星人
213,模仿游戏
214,发条橙
215,美国丽人
216,黄金三镖客
217,燕尾蝶
218,英国病人
219,无耻混蛋
220,初恋这件小事
221,叫我第一名
222,非常嫌疑犯
223,穆赫兰道
224,爱在午夜降临前
225,勇士
226,一个叫欧维的男人决定去死
227,上帝也疯狂
228,无敌破坏王
229,国王的演讲
230,疯狂的石头
231,血钻
232,蓝色大门
233,枪火
234,大卫·戈尔的一生
235,爱·回家
236,你的名字。
237,步履不停
238,无人知晓
239,遗愿清单
240,彗星来的那一夜
241,千钧一发
242,荒岛余生
243,我爱你
244,麦兜故事
245,暖暖内含光
246,曾经
247,血战钢锯岭
248,月球
249,蝴蝶
250,巴黎淘气帮
